,AP,BLESS,Battig,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.48507462686567165,0.5650000000000001,0.33626457656279873,0.5925263696745242,0.5603163836814594,0.7255958335186673,0.19629913129521886,0.2905714051453419,0.5696460507207546,0.5295148199484829,0.5826471299480827,0.31283258288988947,0.18925,0.1315043921883596,1
0,0.48009950248756217,0.625,0.34639648250812466,0.5861053337447213,0.5378416215069096,0.660073655540084,0.18924931342384677,0.2905810763036632,0.5176016398312834,0.4873033878256002,0.5641927952376153,0.3185632419156774,0.182875,0.13413151475469723,1
0,0.5074626865671642,0.61,0.34429363410437774,0.5803446873862885,0.5694057386695268,0.6724874637761866,0.19520958936855892,0.2826443953921121,0.5439881227322952,0.47920567686843285,0.6090224541722195,0.3147769136307818,0.181875,0.14462009103847778,1
0,0.4975124378109453,0.605,0.3358822404893902,0.5920890915038949,0.5682429490021154,0.7209843660225096,0.1867880338430125,0.2816785433703416,0.5326044692746595,0.48922011229719525,0.5761449321810435,0.31457224723700367,0.179125,0.1431560087492213,1
0,0.48507462686567165,0.625,0.3525138596826611,0.5961460318684519,0.561623601927949,0.6750008228380735,0.18716057747892043,0.2930956496849358,0.5362198258375294,0.49827581054405856,0.5662901395587211,0.31917724109701184,0.189875,0.1373122092833356,1
0,0.4950248756218905,0.62,0.34276428981074364,0.5801902592982373,0.5686117622277754,0.7108653638863908,0.1937442094149205,0.28809620246583534,0.5431535788350859,0.5041410924120481,0.5733632969973061,0.3030597625869832,0.182375,0.12805079406394068,1
0,0.5248756218905473,0.56,0.33779392085643284,0.5877401305817028,0.5583367729815812,0.6704549212304867,0.19816352127659212,0.29015339685991515,0.5243591537449571,0.48230085693748953,0.5454422214010823,0.3088415882112157,0.183375,0.1582171736120515,1
,AP,BLESS,Battig,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.5,0.645,0.351749187535844,0.6115895473258588,0.5665730094208231,0.7064943046483265,0.1941862776118096,0.3062029097745322,0.560017558480084,0.5166459198479182,0.5911462519934932,0.3920384772820303,0.2265,0.1321892857329889,2
0,0.5074626865671642,0.645,0.3534696998661824,0.6057838755020237,0.5556802009101713,0.6992383463131399,0.18410988790008811,0.30718916330638935,0.5650406451866612,0.528978272077033,0.6015813290056155,0.40124846500204664,0.2305,0.15544840957824543,2
0,0.5049751243781094,0.665,0.3454406423246033,0.6103399471187257,0.5546425488341229,0.6980144497264819,0.19725608450137078,0.30175703556540456,0.551551671279609,0.5038985022842855,0.5809959375311246,0.40324396234138354,0.22775,0.1183747556623669,2
0,0.4975124378109453,0.62,0.35270502771936535,0.6018411725154783,0.555439571221303,0.6704549212304867,0.19123724342698095,0.3079687958807822,0.5595173504920052,0.5126936129905074,0.6100553460403425,0.39208964388047485,0.22725,0.15210686237226861,2
0,0.4900497512437811,0.655,0.3446759701777863,0.5953199571202454,0.5677368144033774,0.6903432407636791,0.18876453796501413,0.30837614001403385,0.5498401606097355,0.5105905403063961,0.5917573796821328,0.3871264838313549,0.227875,0.1534013918236986,2
0,0.5348258706467661,0.64,0.3523226916459568,0.6138341141789939,0.5706748825981575,0.7305351304576799,0.19649900290726993,0.3008115429267087,0.5411988527731357,0.4937333385226629,0.5722486345229566,0.42887842816209576,0.240125,0.14825769341359413,3
0,0.5223880597014925,0.615,0.3555725482699293,0.6169115324401971,0.5444043647618589,0.6851198249741922,0.19795137718410116,0.2938865181352377,0.5504284881397559,0.5066093625991588,0.5803252751028641,0.4414654113794515,0.239375,0.14122499634095365,3
0,0.4925373134328358,0.63,0.35671955649015485,0.6195577754369084,0.569759575996829,0.6883762641065502,0.19247432115223226,0.3074002015819668,0.5634244836805912,0.5288744120068779,0.5980451089293326,0.42493860008186657,0.244,0.14859875824747287,3
0,0.5149253731343284,0.635,0.35270502771936535,0.6223351999064487,0.5631869334192364,0.7254647017415254,0.19381815027153043,0.3009264894879637,0.5572685288690248,0.5125983766806902,0.5874558154230116,0.4251432664756447,0.245125,0.13904670384662035,3
